name,dateOfBirth,phoneNumber,gender,state,postcode,address,position,fullAddress,random5num,staffID
Carlynne Renny,3/16/1908,011-13558221,F,Pahang,02389,32165 Corben Junction,nurse,"32165 Corben Junction, 02389, Pahang",76634,N76634
Guthry Smidmor,8/12/1935,011-58274823,M,Penang,74712,05 Hallows Park,nurse,"05 Hallows Park, 74712, Penang",72007,N72007
Thorpe Akess,10/23/1915,019-4181066,F,Johor,88717,8 Rockefeller Circle,nurse,"8 Rockefeller Circle, 88717, Johor",67888,N67888
Silvanus Toye,12/8/1957,011-55381003,M,Selangor,76801,60528 Springview Court,nurse,"60528 Springview Court, 76801, Selangor",15472,N15472
Tamqrah Boughey,6/6/1930,011-98384551,F,Kelantan,41111,11408 Kingsford Hill,nurse,"11408 Kingsford Hill, 41111, Kelantan",92319,N92319
Cathryn Wilber,8/11/1958,011-69918333,F,Terengganu,91134,122 Crescent Oaks Plaza,nurse,"122 Crescent Oaks Plaza, 91134, Terengganu",72131,N72131
Adrianna Geockle,10/27/1913,018-3882610,F,Selangor,11422,90644 Lakewood Gardens Crossing,nurse,"90644 Lakewood Gardens Crossing, 11422, Selangor",42986,N42986
Modesty Dodsworth,2/21/1971,017-2454239,F,Penang,43617,24836 Glacier Hill Alley,nurse,"24836 Glacier Hill Alley, 43617, Penang",05424,N05424
Jory Tomenson,11/23/1906,019-9750492,M,Terengganu,32612,74 Tennessee Alley,nurse,"74 Tennessee Alley, 32612, Terengganu",52586,N52586
Yulma Groger,4/17/1978,010-11858075,M,Negeri Sembilan,66619,620 Oak Valley Drive,nurse,"620 Oak Valley Drive, 66619, Negeri Sembilan",61692,N61692
Lindie Stote,5/13/1958,010-78763810,M,Perlis,56881,66605 Sutteridge Center,nurse,"66605 Sutteridge Center, 56881, Perlis",27023,N27023
Teddy Clowney,8/7/1902,019-3644833,F,Perlis,71391,0609 Veith Avenue,nurse,"0609 Veith Avenue, 71391, Perlis",26338,N26338
Joel Leggitt,3/8/1973,010-14651517,F,Negeri Sembilan,03294,201 Old Gate Park,doctor,"201 Old Gate Park, 03294, Negeri Sembilan",51423,D51423
Juditha Olivetta,4/5/1948,019-3893220,M,Johor,81070,66 Linden Court,nurse,"66 Linden Court, 81070, Johor",28241,N28241
Ab Kenworthy,8/2/1959,019-6599565,M,Sarawak,73424,61 Esch Trail,nurse,"61 Esch Trail, 73424, Sarawak",32264,N32264
Seth Doumenc,5/2/1916,019-4032732,M,Perak,55556,8 Meadow Ridge Trail,nurse,"8 Meadow Ridge Trail, 55556, Perak",75773,N75773
Jourdain Nelthrop,6/26/1929,010-11913097,F,Kedah,27522,688 Scofield Drive,nurse,"688 Scofield Drive, 27522, Kedah",23890,N23890
Jeannette Shard,9/8/1929,016-6749353,F,Pahang,71971,1645 Karstens Junction,nurse,"1645 Karstens Junction, 71971, Pahang",05727,N05727
Matelda Drake,3/19/1927,011-4468022,M,Penang,35041,06 Lake View Pass,nurse,"06 Lake View Pass, 35041, Penang",32866,N32866
Keenan Winram,3/9/1998,019-6639629,F,Kuala Lumpur,67470,57483 Towne Plaza,doctor,"57483 Towne Plaza, 67470, Kuala Lumpur",35426,D35426
Jed Billes,7/20/1981,011-42498123,F,Penang,82439,12691 Derek Street,doctor,"12691 Derek Street, 82439, Penang",25350,D25350
Berta Blackeby,8/6/1938,010-48187713,M,Melaka,77055,137 Sutherland Terrace,doctor,"137 Sutherland Terrace, 77055, Melaka",54964,D54964
Torry Caress,10/26/1970,011-58175172,M,Johor,25596,966 Southridge Terrace,nurse,"966 Southridge Terrace, 25596, Johor",77227,N77227
Kelci Vasyukov,8/14/1932,018-8093001,M,Selangor,29521,024 Menomonie Junction,nurse,"024 Menomonie Junction, 29521, Selangor",36544,N36544
Mildred Dekeyser,8/3/1965,019-4421711,M,Melaka,54395,56 Packers Plaza,nurse,"56 Packers Plaza, 54395, Melaka",61011,N61011
Rosa Paske,8/24/1915,011-16115459,M,Selangor,53854,799 Helena Park,nurse,"799 Helena Park, 53854, Selangor",50211,N50211
Grace Abrahmer,5/16/1909,011-02333423,F,Melaka,78259,5074 Anthes Pass,doctor,"5074 Anthes Pass, 78259, Melaka",95359,D95359
Reynard Eastridge,12/29/1947,011-45469143,F,Terengganu,93547,49 Village Way,nurse,"49 Village Way, 93547, Terengganu",58107,N58107
Earlie Baldocci,6/6/1916,011-93426584,F,Perak,63180,208 Gateway Avenue,nurse,"208 Gateway Avenue, 63180, Perak",47197,N47197
Star Scrivens,8/6/1922,010-97306539,F,Melaka,44580,107 Stuart Lane,nurse,"107 Stuart Lane, 44580, Melaka",47811,N47811
Esme Aireton,11/28/1999,011-63341240,M,Melaka,60556,646 Luster Plaza,nurse,"646 Luster Plaza, 60556, Melaka",50791,N50791
Nilson Tamlett,6/27/1994,019-7407611,F,Kuala Lumpur,72467,07739 Di Loreto Drive,doctor,"07739 Di Loreto Drive, 72467, Kuala Lumpur",18577,D18577
Terrye Spence,6/3/1993,016-0401088,F,Pahang,18532,1524 Crowley Place,nurse,"1524 Crowley Place, 18532, Pahang",78011,N78011
Aksel Kobpa,10/26/1948,011-54753179,M,Pahang,95175,26279 4th Terrace,nurse,"26279 4th Terrace, 95175, Pahang",50111,N50111
Vasily Bennington,9/9/1920,019-5711319,M,Sarawak,55484,9 Lotheville Center,nurse,"9 Lotheville Center, 55484, Sarawak",63470,N63470
Bryce Chellenham,2/4/1937,010-78924763,M,Kelantan,05348,418 Garrison Junction,doctor,"418 Garrison Junction, 05348, Kelantan",43452,D43452
Tabbie Montel,7/20/1908,011-45450058,M,Kelantan,67547,81 Lillian Avenue,nurse,"81 Lillian Avenue, 67547, Kelantan",99251,N99251
Findlay Bartoszewicz,1/10/1974,019-4950691,M,Putrajaya,86795,0164 Michigan Park,nurse,"0164 Michigan Park, 86795, Putrajaya",87538,N87538
Jelene Nand,1/2/1935,018-2507769,F,Kedah,70389,84996 Harbort Avenue,nurse,"84996 Harbort Avenue, 70389, Kedah",78973,N78973
Sawyer Manvelle,12/17/1935,019-9436281,M,Putrajaya,81699,69679 Merchant Point,nurse,"69679 Merchant Point, 81699, Putrajaya",84256,N84256
Dulcia Faust,2/14/1925,018-0239498,M,Kuala Lumpur,60614,76843 Tony Hill,nurse,"76843 Tony Hill, 60614, Kuala Lumpur",64166,N64166
Cassandre Foskett,10/30/1909,019-8982684,M,Kelantan,55856,836 Dexter Point,doctor,"836 Dexter Point, 55856, Kelantan",29779,D29779
Gigi Batistelli,7/2/1918,019-8416598,F,Melaka,98059,44437 Merrick Lane,doctor,"44437 Merrick Lane, 98059, Melaka",81153,D81153
Ariadne Hrycek,3/29/1909,010-80334465,M,Penang,11199,3280 Ridgeway Drive,nurse,"3280 Ridgeway Drive, 11199, Penang",71026,N71026
Orland Claffey,11/6/1932,010-63430555,F,Sarawak,81939,909 Dottie Park,nurse,"909 Dottie Park, 81939, Sarawak",16622,N16622
Andy Gudge,7/10/1925,011-30154725,M,Negeri Sembilan,63861,888 Bunker Hill Parkway,nurse,"888 Bunker Hill Parkway, 63861, Negeri Sembilan",01085,N01085
Aurelie Weinberg,1/4/1990,011-51292463,F,Perak,07730,6910 Summerview Park,nurse,"6910 Summerview Park, 07730, Perak",12469,N12469
Janifer Barbary,5/22/1949,010-98127272,M,Putrajaya,32494,2979 Elgar Center,doctor,"2979 Elgar Center, 32494, Putrajaya",80565,D80565
Cassie Rudgerd,9/23/1944,018-5084655,F,Kelantan,93984,45935 Scott Lane,nurse,"45935 Scott Lane, 93984, Kelantan",73169,N73169
Derrick Ilbert,6/30/1969,018-3986191,F,Perak,47379,752 Dayton Court,nurse,"752 Dayton Court, 47379, Perak",98642,N98642
Trstram Howsden,2/22/1942,019-4098053,F,Sabah,07249,2663 Pearson Trail,nurse,"2663 Pearson Trail, 07249, Sabah",76279,N76279
Craggy Shaw,1/29/1972,019-7020061,F,Sabah,89294,3552 Jenifer Court,nurse,"3552 Jenifer Court, 89294, Sabah",15067,N15067
Brigg Mathiasen,9/24/1998,010-84744901,F,Sabah,54076,5494 Buena Vista Park,doctor,"5494 Buena Vista Park, 54076, Sabah",38142,D38142
Dalton Kennady,3/18/1998,010-62915733,F,Penang,58372,5 Dottie Parkway,doctor,"5 Dottie Parkway, 58372, Penang",74259,D74259
Luca Rixon,11/19/1959,017-6512762,F,Kedah,90446,7143 Miller Pass,nurse,"7143 Miller Pass, 90446, Kedah",30637,N30637
Shem Pulley,9/6/1957,011-20199694,M,Sabah,73205,1 Pepper Wood Hill,doctor,"1 Pepper Wood Hill, 73205, Sabah",60618,D60618
Dimitri Faro,11/9/1919,011-66209964,M,Kedah,72741,58647 Talmadge Drive,nurse,"58647 Talmadge Drive, 72741, Kedah",29345,N29345
Olly Jefferson,4/16/1949,011-76230371,M,Sabah,46191,45587 Larry Pass,nurse,"45587 Larry Pass, 46191, Sabah",99522,N99522
Mel Neno,10/27/1960,010-54628711,F,Sarawak,56329,1 Menomonie Plaza,doctor,"1 Menomonie Plaza, 56329, Sarawak",77241,D77241
Hynda Tytcomb,3/22/1998,019-1295093,M,Negeri Sembilan,82756,5456 Eastlawn Court,nurse,"5456 Eastlawn Court, 82756, Negeri Sembilan",65591,N65591
Madelena Tinkham,1/20/1930,019-3715318,F,Pahang,19973,15 Butternut Court,nurse,"15 Butternut Court, 19973, Pahang",15000,N15000
Austine Vowels,2/17/1977,019-0614186,F,Pahang,89020,6 Menomonie Place,nurse,"6 Menomonie Place, 89020, Pahang",71017,N71017
Marlo Dinning,6/12/1907,011-1174040,M,Perak,59049,18 Vahlen Avenue,doctor,"18 Vahlen Avenue, 59049, Perak",39084,D39084
Goldarina Paulucci,4/5/1932,019-4726579,M,Sabah,34783,61 Lunder Court,nurse,"61 Lunder Court, 34783, Sabah",11328,N11328
Diahann Evens,1/6/1929,013-2695432,F,Terengganu,03116,6 Division Park,nurse,"6 Division Park, 03116, Terengganu",39607,N39607
Livia Foucar,7/8/1977,011-91143216,F,Kuala Lumpur,53915,0520 Hermina Street,doctor,"0520 Hermina Street, 53915, Kuala Lumpur",98833,D98833
Isabelle Dinan,4/15/1943,011-63912312,F,Selangor,74080,2579 Vahlen Junction,nurse,"2579 Vahlen Junction, 74080, Selangor",52954,N52954
Kaia O'Bradain,2/22/1953,019-6791414,F,Pahang,08070,8655 Eastlawn Pass,nurse,"8655 Eastlawn Pass, 08070, Pahang",77664,N77664
Franz Karpmann,11/4/1911,019-7195693,M,Kuala Lumpur,61185,630 Fieldstone Point,nurse,"630 Fieldstone Point, 61185, Kuala Lumpur",00308,N00308
Adolphe Simonutti,12/9/1945,011-86330222,F,Kelantan,16282,6 Carberry Way,nurse,"6 Carberry Way, 16282, Kelantan",97555,N97555
Torrance Pealing,5/19/1941,017-1858855,M,Terengganu,65927,27394 Susan Point,nurse,"27394 Susan Point, 65927, Terengganu",56892,N56892
Currey Erbe,8/9/1908,018-7927870,F,Perlis,85627,711 Surrey Plaza,nurse,"711 Surrey Plaza, 85627, Perlis",58441,N58441
Gwenneth Goodwin,5/30/1948,019-8923673,M,Johor,92987,58 Arrowood Hill,doctor,"58 Arrowood Hill, 92987, Johor",10332,D10332
Corry Venus,6/26/1998,018-1254591,M,Labuan,22516,744 Vernon Drive,doctor,"744 Vernon Drive, 22516, Labuan",04640,D04640
Porty Cottle,12/15/1903,011-65087622,M,Johor,72865,884 Paget Crossing,nurse,"884 Paget Crossing, 72865, Johor",67367,N67367
Reinaldos Dransfield,12/5/1911,011-94966396,F,Kuala Lumpur,42313,62 Morningstar Hill,nurse,"62 Morningstar Hill, 42313, Kuala Lumpur",93452,N93452
Ivette Garrigan,11/1/1981,017-8476499,M,Melaka,16286,427 Russell Parkway,nurse,"427 Russell Parkway, 16286, Melaka",14536,N14536
Ellynn Hansard,3/6/1948,011-27664283,M,Perak,44184,639 Vera Hill,nurse,"639 Vera Hill, 44184, Perak",68589,N68589
Tiff Kalkofen,4/24/1928,018-8428471,M,Penang,31428,2 Kinsman Plaza,doctor,"2 Kinsman Plaza, 31428, Penang",12392,D12392
Brana Cleator,10/29/1916,010-65342372,M,Putrajaya,40184,65383 Waxwing Trail,nurse,"65383 Waxwing Trail, 40184, Putrajaya",20837,N20837
Morgana Verdey,7/14/1947,011-60745394,M,Kelantan,85169,18474 Kipling Point,nurse,"18474 Kipling Point, 85169, Kelantan",13194,N13194
Vivia Bartolacci,8/27/1908,011-72015354,M,Perlis,09969,9904 Anthes Terrace,nurse,"9904 Anthes Terrace, 09969, Perlis",54110,N54110
Jessamyn Kentwell,6/17/1925,018-9612035,F,Perak,23110,12259 Independence Trail,nurse,"12259 Independence Trail, 23110, Perak",34734,N34734
Tom Mc Grath,6/20/1988,011-95678300,F,Penang,81582,77 Haas Junction,nurse,"77 Haas Junction, 81582, Penang",39465,N39465
Norina Subhan,9/26/1944,016-8222593,F,Penang,94817,241 Garrison Avenue,nurse,"241 Garrison Avenue, 94817, Penang",67270,N67270
Gwendolyn Sappson,11/9/1902,019-1170457,F,Kedah,47673,4 Clarendon Center,nurse,"4 Clarendon Center, 47673, Kedah",06164,N06164
Goldie Lunbech,4/20/1991,014-5583793,M,Labuan,60527,0978 Carey Plaza,doctor,"0978 Carey Plaza, 60527, Labuan",74445,D74445
Raye Roocroft,9/18/1929,011-32472186,F,Perak,71683,8191 Birchwood Park,nurse,"8191 Birchwood Park, 71683, Perak",66716,N66716
Orv Darch,2/19/1926,019-9199323,M,Perlis,30917,1 Memorial Plaza,nurse,"1 Memorial Plaza, 30917, Perlis",55942,N55942
Allard Dreher,4/10/1991,010-49288117,F,Selangor,41566,7 Sage Drive,doctor,"7 Sage Drive, 41566, Selangor",30392,D30392
Marcella Raddin,12/7/1918,019-6282148,M,Kelantan,28806,10031 Stoughton Hill,nurse,"10031 Stoughton Hill, 28806, Kelantan",33425,N33425
Hamel Bardwell,8/16/1966,011-02561592,M,Labuan,72818,5767 Independence Street,doctor,"5767 Independence Street, 72818, Labuan",84926,D84926
Dela Randerson,10/31/1909,011-57026744,F,Kelantan,52320,7 Thierer Terrace,nurse,"7 Thierer Terrace, 52320, Kelantan",11253,N11253
Demetre Nappin,6/11/1911,010-77799714,F,Terengganu,83189,48588 Clyde Gallagher Avenue,nurse,"48588 Clyde Gallagher Avenue, 83189, Terengganu",07053,N07053
Lee Davidesco,3/11/1964,011-58843169,F,Kuala Lumpur,57243,855 Barnett Point,nurse,"855 Barnett Point, 57243, Kuala Lumpur",34830,N34830
Krishna Doel,6/20/1902,019-9015505,F,Kelantan,41299,55 Sommers Street,doctor,"55 Sommers Street, 41299, Kelantan",46388,D46388
Sutherland Chilton,4/27/1954,010-77908360,M,Kedah,51269,49 Thompson Lane,nurse,"49 Thompson Lane, 51269, Kedah",98861,N98861
Madelene Gossart,11/21/1985,019-7644684,F,Pahang,64945,81857 Gerald Junction,nurse,"81857 Gerald Junction, 64945, Pahang",51527,N51527
Ilka Ennever,1/9/1905,011-52598839,M,Terengganu,54838,8796 Chive Park,nurse,"8796 Chive Park, 54838, Terengganu",91784,N91784
Bertrand Spore,11/22/1949,014-1960809,M,Terengganu,92841,3839 Delladonna Trail,nurse,"3839 Delladonna Trail, 92841, Terengganu",77901,N77901
Nissa Stanbra,7/28/1930,010-37596379,M,Labuan,00654,2 Dunning Place,nurse,"2 Dunning Place, 00654, Labuan",23178,N23178
Adelaide Tumioto,6/6/1992,010-00759364,M,Melaka,18978,80189 Ronald Regan Way,nurse,"80189 Ronald Regan Way, 18978, Melaka",04633,N04633
Arleta Audsley,7/19/1964,019-9180857,F,Sarawak,68315,0 Melody Place,doctor,"0 Melody Place, 68315, Sarawak",95320,D95320
Olia Mitroshinov,10/31/1985,017-9515130,F,Kedah,51769,22539 Dennis Avenue,doctor,"22539 Dennis Avenue, 51769, Kedah",58445,D58445
Kristyn Spinello,12/14/1990,017-5601404,F,Kelantan,97564,336 Glacier Hill Street,nurse,"336 Glacier Hill Street, 97564, Kelantan",94743,N94743
Eden Bew,8/19/1919,010-25545685,M,Melaka,61890,54 Debs Lane,nurse,"54 Debs Lane, 61890, Melaka",14001,N14001
Mathias Wrathmell,2/5/1986,019-5554523,F,Penang,36280,64 Schiller Point,nurse,"64 Schiller Point, 36280, Penang",20674,N20674
Fraser Quarless,10/27/1950,010-83585767,M,Putrajaya,17353,56 Raven Center,nurse,"56 Raven Center, 17353, Putrajaya",14077,N14077
Jodee Rigby,7/29/1997,011-82597566,F,Putrajaya,08832,295 Tennessee Crossing,nurse,"295 Tennessee Crossing, 08832, Putrajaya",53385,N53385
Betsy Royle,6/20/1985,010-14574327,M,Kedah,26439,960 Morning Alley,nurse,"960 Morning Alley, 26439, Kedah",36940,N36940
Kristofor Dawdry,8/28/1902,018-9506915,F,Melaka,80089,5 Kim Plaza,nurse,"5 Kim Plaza, 80089, Melaka",39017,N39017
Tedman Tansly,12/7/1932,016-9913640,M,Perak,83888,81428 Forest Run Point,doctor,"81428 Forest Run Point, 83888, Perak",26047,D26047
Winifield Matuszyk,10/26/1901,010-01239469,F,Melaka,90386,2393 Bobwhite Crossing,nurse,"2393 Bobwhite Crossing, 90386, Melaka",01619,N01619
Fabe Stoltz,5/10/1959,019-2595615,F,Negeri Sembilan,44200,85299 Miller Trail,nurse,"85299 Miller Trail, 44200, Negeri Sembilan",89200,N89200
Camile Cranna,1/19/1907,011-88409725,M,Sarawak,23922,71 North Alley,nurse,"71 North Alley, 23922, Sarawak",84570,N84570
Bobina Oldershaw,12/30/1982,019-2566794,M,Selangor,37186,98 Waubesa Hill,nurse,"98 Waubesa Hill, 37186, Selangor",38586,N38586
Felicdad Dickin,8/2/1940,019-9116813,F,Perak,56466,20725 Buhler Trail,nurse,"20725 Buhler Trail, 56466, Perak",51410,N51410
Dita Mardall,10/6/1955,019-6063207,M,Kelantan,89904,18576 Delaware Road,doctor,"18576 Delaware Road, 89904, Kelantan",85907,D85907
Alexina Alphonso,3/27/1969,010-46160435,F,Melaka,55520,466 Dawn Center,nurse,"466 Dawn Center, 55520, Melaka",59052,N59052
Berkly Dursley,4/28/1997,019-3552786,F,Kelantan,92774,245 Bluestem Center,nurse,"245 Bluestem Center, 92774, Kelantan",17613,N17613
Feodora Borman,10/29/1940,010-89971081,F,Perlis,46451,12209 Waubesa Street,doctor,"12209 Waubesa Street, 46451, Perlis",64975,D64975
Antonie Ninnotti,9/20/1917,010-12432511,F,Penang,42235,452 Cambridge Circle,nurse,"452 Cambridge Circle, 42235, Penang",19140,N19140
Harmony Oertzen,11/27/1989,010-01334656,F,Terengganu,93500,31415 Myrtle Alley,nurse,"31415 Myrtle Alley, 93500, Terengganu",06187,N06187
Sholom Otter,9/24/1943,010-54638112,M,Perlis,87728,1940 Butternut Hill,doctor,"1940 Butternut Hill, 87728, Perlis",94193,D94193
May Sherman,3/5/1919,010-67820368,M,Putrajaya,06757,17 Lukken Circle,doctor,"17 Lukken Circle, 06757, Putrajaya",62920,D62920
Sianna Vawton,8/15/1982,011-69466878,M,Pahang,10543,0687 Susan Lane,nurse,"0687 Susan Lane, 10543, Pahang",60259,N60259
Kipper Tewkesbury.,2/3/1929,010-84235766,M,Selangor,56690,123 Golf Course Court,nurse,"123 Golf Course Court, 56690, Selangor",35622,N35622
Martynne Pilmore,9/13/1937,010-67077792,F,Putrajaya,73441,10848 Parkside Lane,doctor,"10848 Parkside Lane, 73441, Putrajaya",68219,D68219
Philippe Ruffles,12/19/1999,018-3332619,M,Terengganu,86467,4111 Armistice Center,doctor,"4111 Armistice Center, 86467, Terengganu",79915,D79915
Poul Afonso,6/15/1958,010-75729676,F,Melaka,01474,31413 Sundown Street,doctor,"31413 Sundown Street, 01474, Melaka",78378,D78378
Martyn Crossthwaite,8/5/1914,017-2900766,F,Labuan,76904,197 Union Park,nurse,"197 Union Park, 76904, Labuan",10120,N10120
Donnie Louis,6/27/1905,019-8595416,F,Perak,60733,7215 American Ash Alley,doctor,"7215 American Ash Alley, 60733, Perak",18911,D18911
Hazel Purser,3/4/1911,010-81368774,M,Pahang,44083,15071 Ryan Junction,nurse,"15071 Ryan Junction, 44083, Pahang",12318,N12318
Corry Cleminson,10/26/1973,010-02736911,M,Melaka,12167,203 Ridge Oak Junction,doctor,"203 Ridge Oak Junction, 12167, Melaka",72535,D72535
Erik O'Callaghan,11/11/1968,019-2691651,M,Labuan,54643,40703 Lakewood Gardens Plaza,nurse,"40703 Lakewood Gardens Plaza, 54643, Labuan",54094,N54094
Aylmar Shrimplin,1/28/1972,010-71393987,F,Kelantan,18227,620 Shasta Alley,nurse,"620 Shasta Alley, 18227, Kelantan",15552,N15552
Zuzana Mouan,3/18/1980,011-97105177,M,Melaka,72456,199 Delladonna Lane,doctor,"199 Delladonna Lane, 72456, Melaka",79337,D79337
Francyne Searchwell,6/28/1946,011-83006752,F,Sarawak,35675,71419 Autumn Leaf Plaza,nurse,"71419 Autumn Leaf Plaza, 35675, Sarawak",06147,N06147
Ulises Ciobotaro,7/30/1911,018-9099335,F,Johor,63631,96 Saint Paul Hill,doctor,"96 Saint Paul Hill, 63631, Johor",17501,D17501
Jobi Borell,5/7/1981,010-14758640,F,Kuala Lumpur,72354,824 Bobwhite Drive,nurse,"824 Bobwhite Drive, 72354, Kuala Lumpur",18080,N18080
Bibbie Dunnett,9/13/1966,019-7716108,M,Sarawak,97832,22901 Florence Point,nurse,"22901 Florence Point, 97832, Sarawak",56727,N56727
Delcine Puckett,10/27/1900,011-86011096,F,Perlis,09146,9362 Gerald Court,nurse,"9362 Gerald Court, 09146, Perlis",09782,N09782
Shamus Gockelen,11/10/1992,017-2740662,F,Pahang,92455,7 Swallow Road,nurse,"7 Swallow Road, 92455, Pahang",64552,N64552
Tansy Dewicke,5/10/1938,010-21214195,M,Sabah,25004,2127 Pennsylvania Trail,nurse,"2127 Pennsylvania Trail, 25004, Sabah",25507,N25507
Marthe Dutson,11/27/1969,019-6506612,F,Perlis,30635,669 Porter Way,nurse,"669 Porter Way, 30635, Perlis",70646,N70646
Cassandre Croose,9/23/1928,019-7578330,M,Labuan,16288,472 Schlimgen Hill,doctor,"472 Schlimgen Hill, 16288, Labuan",50984,D50984
Patience Jewes,7/29/1970,017-2586932,M,Melaka,07689,3 Barby Crossing,doctor,"3 Barby Crossing, 07689, Melaka",63210,D63210
Lukas Kobsch,1/19/1930,011-54880620,F,Pahang,16672,72404 Park Meadow Lane,doctor,"72404 Park Meadow Lane, 16672, Pahang",84040,D84040
Jaye Boycott,12/19/1969,018-0671153,F,Negeri Sembilan,90582,64503 Manufacturers Court,nurse,"64503 Manufacturers Court, 90582, Negeri Sembilan",55826,N55826
Helsa Vidyapin,10/7/1976,010-80830029,F,Terengganu,72775,7697 1st Parkway,nurse,"7697 1st Parkway, 72775, Terengganu",54110,N54110
Hamnet Cromie,9/21/1933,011-37919132,M,Labuan,43688,623 Ruskin Trail,nurse,"623 Ruskin Trail, 43688, Labuan",03613,N03613
Nana Suttling,8/29/1983,019-5228116,F,Putrajaya,94684,84354 Schurz Pass,nurse,"84354 Schurz Pass, 94684, Putrajaya",76777,N76777
Elly Anstice,8/6/1926,018-4674726,F,Kedah,90333,8 Donald Road,nurse,"8 Donald Road, 90333, Kedah",58724,N58724
Augustine Djordjevic,2/26/1998,011-22718908,M,Putrajaya,20331,37718 Forest Run Way,nurse,"37718 Forest Run Way, 20331, Putrajaya",09287,N09287
Vinita Davidi,12/6/1978,019-6458563,F,Terengganu,11735,74559 Stoughton Center,nurse,"74559 Stoughton Center, 11735, Terengganu",17508,N17508
Maxwell Flipsen,2/4/1983,011-47212258,M,Johor,28159,94 Schurz Terrace,nurse,"94 Schurz Terrace, 28159, Johor",76514,N76514
Johna Petroselli,1/1/1911,011-96412836,M,Pahang,49344,16313 Onsgard Hill,nurse,"16313 Onsgard Hill, 49344, Pahang",42804,N42804
Matias Crichley,3/4/1979,011-62943750,M,Kuala Lumpur,76169,42 Carberry Circle,nurse,"42 Carberry Circle, 76169, Kuala Lumpur",54722,N54722
Travers McMyler,10/5/1980,019-3532504,F,Sarawak,55174,0061 Milwaukee Hill,nurse,"0061 Milwaukee Hill, 55174, Sarawak",75654,N75654
Renae Lefeaver,12/15/1981,010-00463806,F,Selangor,16845,3 Warbler Drive,nurse,"3 Warbler Drive, 16845, Selangor",04319,N04319
