staffID,name,dateOfBirth,phoneNumber,gender,address,position
D37224,Lora Burkin,1/10/1945,010-9643297,F,"90 Stephen Plaza, 82662, Sabah",doctor
N94756,Sue Cariss,11/7/1962,017-1965190,M,"60681 Village Green Place, 59662, Perak",nurse
N99642,Rebe Hadye,20/9/1900,014-5351989,M,"62252 Superior Hill, 78641, Labuan",nurse
N04509,Antonius Abbess,12/6/1936,018-9480920,M,"87136 Vahlen Drive, 31270, Kelantan",nurse
N70690,Kalindi Runciman,27/12/1954,019-5015664,M,"67 Fuller Lane, 81932, Johor",nurse
D02104,Fanchon Bough,12/9/1977,016-6601988,F,"138 Autumn Leaf Parkway, 60757, Johor",doctor
N18018,Gardner Yonge,19/10/1908,019-2790505,M,"0738 Bluestem Avenue, 13856, Pahang",nurse
N14515,Sheena Markushkin,4/3/1969,010-3625362,M,"1021 Melvin Alley, 44021, Putrajaya",nurse
N87235,Hana Harwick,21/8/1947,019-2455899,F,"1 Roth Hill, 58217, Melaka",nurse
N12591,Alix Scoular,19/2/1948,011-04227065,M,"2 Larry Drive, 94016, Labuan",nurse
N50921,Nancie Bulstrode,5/10/1922,017-4773191,F,"86341 East Pass, 71964, Perak",nurse
N59936,Derrik Tathacott,3/2/1909,011-91610101,F,"5485 Debs Court, 34621, Kedah",nurse
D43323,Clem Kaveney,26/9/1904,010-4939791,M,"19999 Packers Circle, 96941, Melaka",doctor
N28045,Korella Plaid,8/8/1996,011-81290250,M,"8 Dakota Alley, 11044, Kuala Lumpur",nurse
N63003,Trudy Leadley,29/9/1930,018-7592017,M,"38937 High Crossing Street, 52697, Labuan",nurse
N75984,Malinda Dimmick,28/10/1965,019-6667896,F,"1963 8th Hill, 86469, Kuala Lumpur",nurse
D72629,Jerrilyn Hardwicke,30/1/1915,010-9681919,M,"5 Sommers Pass, 44624, Johor",doctor
D68524,Joyous Wix,18/5/1980,019-7747513,F,"6 Rigney Road, 44709, Johor",doctor
N05643,Nicole Skeffington,15/11/1977,011-56675719,M,"6235 Northfield Circle, 18729, Kuala Lumpur",nurse
N47517,Malena Powell,24/12/1979,011-61514736,F,"12954 Carberry Drive, 39703, Labuan",nurse
N97556,Aubrette Narrie,3/12/1932,010-4306807,M,"24 Vera Street, 90546, Sarawak",nurse
N48078,Filip Dollard,23/1/2000,018-9049229,M,"2 Redwing Crossing, 74499, Kuala Lumpur",nurse
N93825,Gisele Greaser,29/8/1981,018-8422487,F,"16 Arkansas Place, 23305, Johor",nurse
N48700,Miller Lees,1/3/1951,011-24429129,M,"056 Lakewood Gardens Point, 53427, Sabah",nurse
N95485,Rube Wraith,18/7/1958,017-2172718,F,"1649 Grim Parkway, 74730, Kelantan",nurse
N29254,Quint Leschelle,13/1/1935,010-6817039,F,"17201 Ridgeview Center, 88465, Johor",nurse
N05157,Verne McKeefry,9/4/1956,010-5133209,F,"35 Surrey Alley, 67281, Penang",nurse
N54324,Alisander Reinbeck,28/6/1909,011-91585095,M,"28 Grasskamp Road, 64121, Sabah",nurse
N36012,Monah Alasdair,11/9/1911,019-1566533,M,"509 Melody Point, 38323, Sabah",nurse
N19060,Gordon Driffe,7/10/1925,018-2621973,M,"5 Morningstar Terrace, 82138, Kedah",nurse
N00861,Jacky MacGrath,18/11/1984,019-7721104,F,"04 Raven Road, 32271, Labuan",nurse
N25937,Murray Hartwright,19/5/1946,010-9876666,M,"2 Hagan Road, 31708, Melaka",nurse
N09902,Winny Porritt,9/6/1984,019-3344443,F,"123 Forest Plaza, 69157, Sarawak",nurse
N09288,Stephenie MacKeig,23/9/1901,011-34370212,F,"00124 Truax Lane, 22666, Sabah",nurse
D32711,Valentine Housley,25/7/1931,011-79594384,M,"9084 Michigan Place, 19551, Perak",doctor
N72181,Bunnie Stoop,13/3/1953,011-76473448,M,"41667 Red Cloud Hill, 85230, Kuala Lumpur",nurse
D70439,Jeddy Trevascus,23/3/1999,011-39678735,M,"869 Lighthouse Bay Street, 53593, Kuala Lumpur",doctor
N01501,Jordon Tireman,26/12/1953,017-0900415,M,"76623 Killdeer Trail, 36233, Pahang",nurse
N59310,Novelia Cotty,12/6/1907,011-84154988,F,"13380 Arapahoe Road, 31624, Perlis",nurse
D66258,Clemente Trafford,13/9/1921,018-1222374,F,"732 Springview Avenue, 78698, Pahang",doctor
N26572,Ranee McCaughey,2/3/1935,011-16386690,M,"3 Kropf Lane, 17720, Perak",nurse
N52930,Rancell Zanolli,10/9/1974,018-4376985,M,"06 Basil Parkway, 71900, Labuan",nurse
N52226,Shauna Castella,30/7/1924,011-86143975,M,"0 Rusk Center, 82226, Sarawak",nurse
N67149,Calli Lamport,24/11/1965,019-0347447,F,"6 Nelson Junction, 81367, Sarawak",nurse
D31188,Riccardo Duinbleton,19/3/1999,011-57930651,F,"85633 New Castle Pass, 76955, Sarawak",doctor
D81464,Hillary Matzkaitis,19/9/1996,018-3880564,F,"177 Golf Course Pass, 30213, Kedah",doctor
N01781,Jodee Peak,10/7/1977,016-9216262,F,"306 Kingsford Street, 55843, Putrajaya",nurse
N57930,Kale Sterricks,19/7/1975,011-27292345,F,"06474 Evergreen Terrace, 83679, Melaka",nurse
N37086,Lenna Windrus,12/10/1981,010-6521469,F,"1678 Westport Crossing, 18605, Melaka",nurse
N56722,Rachel Schieferstein,25/10/1914,010-3078236,M,"89953 2nd Plaza, 14254, Johor",nurse
N57483,Tobye Finding,22/8/1969,019-8947189,F,"20339 Meadow Valley Terrace, 34516, Johor",nurse
N92584,Mureil Loding,18/4/1986,019-2723321,M,"2342 Stoughton Terrace, 32153, Melaka",nurse
N98421,Barbie Freeman,24/7/1942,010-4636152,F,"391 David Park, 52224, Sabah",nurse
D80194,Tallulah Gavaghan,17/10/1955,017-9543684,F,"32194 Loftsgordon Way, 10465, Johor",doctor
D03564,Thoma Ollett,23/9/1936,017-8246251,F,"40148 Heffernan Park, 56084, Putrajaya",doctor
N01289,Cindi Glisane,7/8/1963,011-26907383,M,"0 Northfield Pass, 66805, Negeri Sembilan",nurse
N89412,Merissa Staniland,17/6/1913,019-6792113,M,"4 Upham Avenue, 88966, Perak",nurse
N09807,Celestine Tindall,7/1/1967,019-8198490,M,"842 Monument Center, 85735, Kedah",nurse
N45811,Reece Dodwell,29/11/1983,011-71110682,M,"6 Rutledge Way, 94416, Sarawak",nurse
N93331,Adi Joost,24/7/1903,011-19192703,F,"0235 Ohio Street, 07181, Pahang",nurse
N19414,Letti Stowe,29/5/1999,019-9200268,F,"91027 Towne Street, 12897, Melaka",nurse
N33486,Claudette Pagin,3/8/1956,019-4124088,M,"778 Maryland Junction, 36709, Selangor",nurse
D95945,Trev Meenehan,30/10/1994,018-5723695,F,"92888 Oak Valley Park, 96631, Melaka",doctor
N44742,Joe Halden,12/9/1921,019-6049333,M,"881 Hooker Court, 09079, Putrajaya",nurse
N03407,Marrilee Badrick,3/10/1951,010-9046772,M,"3514 Park Meadow Point, 99145, Perak",nurse
N71264,Enrico Conre,2/11/1950,018-2409601,F,"63909 Duke Place, 81992, Sarawak",nurse
N20805,Tamas Tweed,11/4/1994,011-54057858,F,"964 Nevada Hill, 43667, Penang",nurse
N99314,Trudy Pipkin,26/9/1915,017-7006373,F,"809 Meadow Ridge Circle, 81399, Perak",nurse
N37399,Gareth Waeland,4/2/1908,018-8086875,M,"310 Ramsey Place, 17159, Kedah",nurse
N93163,Jonathon Pendell,17/11/1927,019-8528542,M,"20295 Clemons Court, 47816, Pahang",nurse
D87775,Pennie Pollins,21/9/1922,011-42026300,M,"7 Delaware Pass, 17954, Johor",doctor
N99415,Reidar Pollington,26/11/1987,013-0647179,M,"3 Pawling Place, 07530, Terengganu",nurse
N00997,Jonas Gunthorp,27/7/1948,011-78256782,M,"7 Center Lane, 80773, Kedah",nurse
D02092,Ruben Gladeche,16/7/1940,010-2908386,M,"668 Kennedy Trail, 78653, Kedah",doctor
D38712,Tobin Gumery,8/1/1994,018-7450693,F,"3 Alpine Parkway, 05093, Labuan",doctor
D59758,Krispin Keelin,6/5/1977,019-6968400,F,"10 Del Mar Terrace, 03105, Putrajaya",doctor
N84761,Henriette Anthiftle,23/11/1986,010-8640398,F,"660 East Way, 16859, Kuala Lumpur",nurse
D72386,Karlyn Dulanty,31/12/1911,010-1959750,F,"2 Debra Alley, 93195, Negeri Sembilan",doctor
N53019,Jorge Phillipps,13/12/1961,019-3768181,F,"47674 Loftsgordon Plaza, 72280, Johor",nurse
N10593,Fowler Isworth,6/2/1927,011-58163377,M,"476 Florence Parkway, 58048, Terengganu",nurse
D86439,Bria Mabbutt,31/3/1990,010-2893290,F,"9 Ridgeway Plaza, 01982, Perlis",doctor
N00342,Malinde Eskrick,11/5/1996,011-59380308,M,"60079 Moose Pass, 98935, Negeri Sembilan",nurse
N76290,Karyn Henningham,15/12/1959,011-02390754,M,"39 Hauk Crossing, 82452, Penang",nurse
N59752,Pauly Evenett,4/11/1947,010-9049259,M,"39593 6th Court, 02805, Kedah",nurse
N44145,Guillermo Kondratenya,23/10/1988,018-3538983,F,"65652 Burning Wood Junction, 03652, Negeri Sembilan",nurse
D43493,Romola Molohan,15/4/1971,019-8368604,F,"035 Lakewood Gardens Park, 93126, Putrajaya",doctor
N61033,Giraldo Storah,6/5/1927,011-59622743,F,"95873 Twin Pines Point, 09288, Sabah",nurse
D95007,Gordy Canedo,17/6/1912,010-6023089,F,"8 Hoard Avenue, 52139, Putrajaya",doctor
D04747,Kingsley Stollberger,24/10/1948,013-1269148,F,"421 Hovde Road, 23624, Kelantan",doctor
N35319,Amberly Frampton,12/1/1934,010-6352245,M,"778 Pine View Center, 72231, Sarawak",nurse
N27965,Leticia Ziemke,24/7/1923,010-2361976,F,"477 Marcy Place, 74393, Perak",nurse
N13654,Torie Mackett,4/11/1935,014-5637218,F,"75002 Lukken Point, 06652, Sarawak",nurse
N85966,Debi Reynolds,16/6/1906,019-1100032,M,"67671 Bartelt Trail, 77899, Kelantan",nurse
N64450,Glyn Pahlsson,20/10/1912,019-7366468,F,"957 Jenna Court, 73388, Penang",nurse
N36339,Tammie Prattin,29/6/1957,010-8009100,F,"58 Westport Road, 35534, Kedah",nurse
N49025,Sofia Yong,17/5/1987,010-7853173,M,"94891 Mallard Circle, 61709, Kuala Lumpur",nurse
N15398,Hendrika Ahlf,10/8/1951,010-2496739,F,"348 Colorado Circle, 23398, Kelantan",nurse
N50816,Laure Pyecroft,26/4/1902,011-57546477,F,"99988 Brown Road, 13998, Kuala Lumpur",nurse
N00100,Shaylyn Verheyden,15/7/1949,011-60268583,F,"0626 Hayes Junction, 77420, Sabah",nurse
N79909,Katerine Cokly,3/3/1995,011-05152850,M,"2 West Alley, 12338, Terengganu",nurse
D52178,Annabel Bilbie,14/9/1950,011-66919344,M,"07415 Stang Court, 21935, Perlis",doctor
N56356,Donelle Verring,5/10/1903,010-8341232,F,"25 Sycamore Hill, 68187, Labuan",nurse
N18034,Bradford Pantling,19/11/1925,011-59735972,M,"34027 Vahlen Drive, 80254, Kedah",nurse
N37708,Ruthanne Grouse,14/7/1946,017-8580321,F,"7970 Monica Circle, 34600, Perlis",nurse
N22006,Archaimbaud Trounce,4/1/1983,011-16341126,F,"254 Badeau Way, 25337, Labuan",nurse
D10463,Tadeas Sissel,17/8/1950,010-9774077,M,"6 Judy Lane, 22601, Kelantan",doctor
N52203,Katuscha Spelling,26/9/1957,010-8452775,F,"22 Victoria Street, 27040, Johor",nurse
N32541,Ashby Stimson,28/1/1983,017-4484066,M,"1 Golf Park, 25011, Terengganu",nurse
D02165,Karel O'Connor,17/1/1931,010-0414420,M,"3 Nova Junction, 59448, Pahang",doctor
N86869,Jordanna Potteridge,17/8/1932,018-9249095,M,"9852 Eliot Plaza, 27120, Kedah",nurse
D54443,Lacie Levitt,10/6/1965,011-47912186,F,"37975 Westridge Terrace, 38535, Kelantan",doctor
N86598,Janek Lovatt,26/12/1978,013-0821609,F,"64815 Rieder Road, 16902, Kelantan",nurse
N38342,Moishe Ashlee,1/4/1964,019-7000523,M,"8 Oxford Place, 44252, Selangor",nurse
N53055,Eunice Stroyan,14/8/1944,019-9660216,F,"909 Towne Circle, 98017, Kedah",nurse
N48515,Eb Janodet,7/11/1994,010-8355101,F,"682 Ludington Parkway, 75362, Pahang",nurse
D63155,Gregor Lathe,12/4/1964,010-1749872,M,"930 Dunning Avenue, 76241, Kuala Lumpur",doctor
D50896,Loren Whistlecroft,24/9/1946,010-2852580,F,"67 Pearson Drive, 44376, Kedah",doctor
N46557,Desmund Payton,7/10/1928,014-0595754,F,"310 Main Road, 99486, Kuala Lumpur",nurse
N62210,Hortensia McCay,30/9/1998,011-95882105,M,"9 Jay Park, 64332, Labuan",nurse
N71187,Janenna Sarton,6/1/1990,010-8260697,F,"21343 Cardinal Court, 88588, Negeri Sembilan",nurse
N61572,Towny Tythacott,3/2/1994,011-5096458,F,"86 Swallow Plaza, 13265, Putrajaya",nurse
N42877,Noel Pardal,6/1/1923,019-8325087,M,"66 Bashford Parkway, 64254, Sarawak",nurse
N17791,Noble Reynold,10/12/1935,010-6377836,F,"0934 Ridgeview Trail, 15305, Perlis",nurse
N32367,Prinz Woolley,6/12/1994,017-3062654,F,"2 Sunnyside Way, 74750, Kedah",nurse
N62397,Yale Udy,30/11/1971,018-9338325,M,"0 Garrison Junction, 88827, Kuala Lumpur",nurse
N28853,Bryanty Gorvin,24/6/1939,010-1719695,F,"299 Hooker Lane, 25409, Pahang",nurse
N45297,Gelya O'Regan,8/6/1959,018-9344855,F,"38731 Ronald Regan Court, 13162, Perlis",nurse
D61003,Rahel Bole,7/6/1911,019-7694121,M,"660 Clove Hill, 13696, Terengganu",doctor
N79553,Boy Demchen,27/3/1993,010-1595883,M,"19 New Castle Trail, 00814, Labuan",nurse
D47851,Steffane Canceller,27/12/1966,011-06064442,F,"8511 Haas Trail, 57170, Terengganu",doctor
D89907,Revkah Kear,17/6/1919,011-67079201,F,"095 Bashford Parkway, 41404, Negeri Sembilan",doctor
N07723,Elianore Dake,12/7/1965,011-71132478,F,"56 Mosinee Park, 62603, Kelantan",nurse
N96460,Mady Antrum,29/11/1962,010-2802923,M,"57 Ridge Oak Hill, 99657, Kuala Lumpur",nurse
N07578,Jaime Joddins,3/12/1928,011-12538990,M,"50 Kenwood Pass, 61333, Perlis",nurse
N81148,Cornie Dutnall,6/10/1964,017-3649293,F,"561 Welch Lane, 16161, Putrajaya",nurse
N06478,Stacie Peacocke,16/12/1977,019-4070090,M,"8 Pepper Wood Way, 40021, Perak",nurse
N34196,Osmund Thaxter,22/4/1906,011-97893489,F,"75 Sutherland Junction, 90300, Terengganu",nurse
D89761,Aldus Stansby,19/9/1932,019-6732812,M,"0138 Monterey Avenue, 59787, Kuala Lumpur",doctor
N32330,Hillary Goldfinch,14/8/1903,011-05855142,M,"785 Armistice Plaza, 24302, Johor",nurse
N18408,Carolin Draijer,26/9/1914,011-99628910,F,"069 Jana Place, 53066, Johor",nurse
N81717,Tani Watkiss,30/10/1962,019-8215716,M,"44179 Chive Plaza, 34320, Perak",nurse
N94870,Joletta Newiss,5/9/1926,017-6446647,F,"9904 Washington Street, 40011, Penang",nurse
N53665,Idaline Sterry,20/12/1964,010-7638718,F,"94276 Village Pass, 02482, Johor",nurse
N89098,Corny Menpes,11/1/1942,011-64628603,F,"758 Ridge Oak Center, 06985, Terengganu",nurse
N91488,Nate Stairs,19/3/1941,018-8234706,F,"9173 Pennsylvania Road, 52647, Penang",nurse
N29623,Orsa Todarini,5/7/1914,010-7737257,M,"127 Village Green Circle, 85357, Melaka",nurse
D60762,Marc Janowski,10/12/1964,011-87525423,M,"5 Debs Street, 95218, Kedah",doctor
N73537,Keri McCall,4/2/1921,018-4753072,F,"82434 Artisan Trail, 22555, Kuala Lumpur",nurse
D14328,Filmer Kinchington,16/1/1922,011-96141169,F,"69 Forster Lane, 38169, Kuala Lumpur",doctor
N89035,Rivi Ibert,29/9/1919,011-49894301,M,"3014 Old Shore Place, 12410, Putrajaya",nurse
N68829,Norma Eastbrook,2/4/1912,010-1784887,F,"9 Kennedy Lane, 77710, Selangor",nurse
N20354,Elisabeth Krystof,21/10/1971,011-32918650,M,"5 Heath Center, 54209, Putrajaya",nurse
N73259,Jud Caro,5/9/1976,018-4197635,M,"0152 Rutledge Lane, 65618, Kedah",nurse
N85953,Iseabal Pinchbeck,15/8/1905,019-8857025,F,"8 Erie Circle, 98899, Perlis",nurse
N36593,Melinde Simukov,22/6/1918,017-7104330,M,"69522 Scott Lane, 16776, Kedah",nurse
N07728,Cris Branchflower,9/2/1964,011-11020602,F,"83 Northridge Street, 73067, Labuan",nurse
N12382,Modestine Condon,28/5/1914,019-6559698,M,"12 Village Green Park, 47901, Melaka",nurse
N57186,Dorita Fassbindler,15/10/1905,010-1038353,M,"587 3rd Parkway, 37810, Labuan",nurse
D70971,Letitia Windridge,7/6/1976,011-84507672,M,"8 Mayer Circle, 73508, Penang",doctor
N25112,Corny Molfino,28/9/1938,011-41756155,M,"5909 Nelson Way, 22565, Kelantan",nurse
N35566,Phip Nelsen,3/1/1970,010-4044399,F,"3946 Katie Point, 96775, Perak",nurse
D78906,Alessandra Meriott,29/9/1911,011-56122243,M,"27 Sundown Junction, 60708, Sabah",doctor
N38347,Anallese Spittal,16/8/1901,011-23262906,M,"28 Fuller Trail, 32483, Melaka",nurse
N91300,Rosemonde Giaomozzo,25/7/1910,019-7449601,M,"7 John Wall Lane, 52610, Perlis",nurse
N53189,Alvis Izakof,25/12/1907,014-8338762,F,"67 Linden Junction, 32622, Penang",nurse
N32176,Blithe Chappell,18/6/1957,010-0991906,M,"7 Dryden Junction, 95754, Perlis",nurse
N70310,Bord Nesbitt,25/2/1919,011-24214124,M,"6 Mesta Park, 35501, Perak",nurse
N91184,Barnabe ducarme,28/12/1973,019-7152903,F,"064 Manufacturers Park, 27279, Perak",nurse
N02334,Barde Hainey`,7/10/1941,010-5188160,M,"5 Muir Way, 89919, Melaka",nurse
D97949,Gerrie Owers,16/1/1982,010-3709532,F,"418 Butterfield Way, 69254, Perak",doctor
N70421,Charmain Gemnett,11/8/1997,018-2295818,M,"8 Mesta Drive, 02935, Pahang",nurse
D08615,Myrlene Duffield,19/3/1911,019-6693453,M,"069 5th Terrace, 37500, Johor",doctor
N89364,Clarissa Stoves,30/5/1971,014-2723970,M,"3715 Mayer Junction, 33307, Johor",nurse
D61997,Wait Strike,8/4/1956,019-0500212,F,"57 Fieldstone Place, 72748, Perak",doctor
N30251,Ellis Bilbee,27/8/1970,019-5903989,F,"73463 Clove Way, 49448, Melaka",nurse
D99731,Dillon Polly,3/5/1931,014-0268708,F,"0937 Mallard Junction, 91993, Sabah",doctor
N50487,Hanson Hannabuss,13/7/1941,010-6633395,F,"3 Vermont Circle, 99917, Labuan",nurse
N14584,Freddi Edkins,14/1/1941,016-5290322,F,"96248 Pierstorff Way, 28544, Kuala Lumpur",nurse
N53349,Say Possel,19/3/1929,011-62493443,M,"5256 Welch Way, 14353, Perak",nurse
N34521,Wakefield Reily,17/8/1930,019-6814131,M,"93326 Division Court, 05907, Pahang",nurse
N29787,Devan Tutsell,1/11/1986,011-87811738,M,"81 Kingsford Point, 58488, Terengganu",nurse
N63668,Joice Chalfant,23/5/1974,011-02216992,M,"7 Nevada Junction, 95545, Sabah",nurse
D61387,Malcolm Songest,15/1/1968,017-4950848,M,"37700 Mifflin Road, 23993, Perlis",doctor
D41652,Krysta Claus,28/12/1955,011-78841207,M,"99150 Raven Terrace, 61635, Labuan",doctor
N52344,Ned Campanelle,30/10/1907,010-0127925,M,"63 Lunder Terrace, 56087, Perak",nurse
D27490,Gaultiero Jacob,29/10/1984,010-2408649,M,"38 Heffernan Circle, 60983, Melaka",doctor
N26508,Cello Colbran,1/11/1989,019-3405247,F,"60 Debra Place, 30407, Terengganu",nurse
N95528,Jocelyne Cuberley,21/1/1998,010-3190089,F,"9 Eagan Pass, 86202, Kuala Lumpur",nurse
N74670,Gilles Whiscard,20/5/1988,019-5130772,M,"05 Mesta Junction, 68696, Kelantan",nurse
N58925,Anna-maria Swaffield,12/4/1981,019-9629671,F,"0183 Oriole Center, 93218, Melaka",nurse
D42083,Crystal Wasbrough,14/10/1994,010-3772140,F,"83106 Elgar Junction, 01840, Melaka",doctor
N15376,Flynn Gallahue,24/8/1985,019-4149746,F,"8 Mitchell Trail, 08577, Perlis",nurse
N91404,Gunar Hast,12/1/1958,017-9131158,M,"98 Farmco Crossing, 14446, Pahang",nurse
D75348,Martina Massot,16/1/1948,010-8312082,M,"4 Becker Alley, 93905, Perak",doctor
N37291,Jany Dobing,19/8/1943,010-4060401,M,"9 Iowa Alley, 30459, Selangor",nurse
N87800,Sibley Huonic,9/11/1935,013-7751911,F,"0 Corscot Road, 63179, Penang",nurse
D98561,Iosep Bonnell,20/7/1943,018-9884443,M,"827 Portage Junction, 57030, Melaka",doctor
N50695,Nessie Morecomb,28/1/1979,010-4227701,M,"270 Talmadge Terrace, 21345, Kedah",nurse
N92301,Halie Lazarus,25/3/1951,010-8986596,M,"4 Golf Hill, 62217, Labuan",nurse
N58013,Niki de Chastelain,25/1/1908,011-30654437,M,"41583 Cottonwood Trail, 96215, Terengganu",nurse
N29488,Brandea Stotherfield,12/11/1913,016-5605488,F,"89148 Center Place, 21854, Sabah",nurse
N75248,Kesley Keeltagh,8/12/1923,011-91694657,M,"8 Cambridge Hill, 08283, Perlis",nurse
D28904,Dorise Cunnington,11/12/1919,011-24452156,M,"35 Talmadge Trail, 87104, Pahang",doctor
N11416,Hank Andrioni,21/5/1979,011-52844490,F,"9490 Graedel Road, 91233, Penang",nurse
N07980,Jojo Blackden,25/11/1998,011-13106901,F,"309 Northport Road, 00931, Sabah",nurse
N83724,Cinnamon Goodboddy,1/1/1964,019-2477960,M,"7134 Shelley Center, 40806, Perlis",nurse
N94564,Rosa Kiffin,5/6/1974,018-9240697,M,"946 Sundown Court, 18488, Melaka",nurse
N75302,Chadwick Poyner,16/5/1948,011-8381916,F,"0 Dapin Center, 78862, Sabah",nurse
N94323,Nicolai Jansey,1/7/1975,019-2841055,F,"76795 North Drive, 00514, Putrajaya",nurse
N93942,Daune Trank,11/8/1949,019-2808800,M,"08678 Merrick Way, 37512, Penang",nurse
N85937,Bradan Baggs,5/5/1970,019-9377600,M,"1 Algoma Place, 56795, Negeri Sembilan",nurse
N14760,Rafa Jerzykiewicz,25/6/1917,017-6782374,M,"2 Continental Street, 75427, Sabah",nurse
N11358,Cyrus Rosario,16/6/1941,010-1322261,F,"4 Truax Point, 46480, Pahang",nurse
N04113,Jacquelin Andrzejewski,1/8/1930,019-0487942,F,"83239 Vahlen Court, 23271, Sabah",nurse
N74564,Ashlan Benet,23/3/1937,011-83110750,F,"235 Fairfield Parkway, 61006, Sarawak",nurse
D03301,Rubin Stanlake,11/3/1973,011-88950550,F,"0247 Westerfield Road, 32821, Perlis",doctor
N83698,Boris Roser,2/3/1929,014-9214993,F,"5 Springs Street, 64478, Kelantan",nurse
N73170,Boony Sherar,5/3/1919,018-3069175,F,"5413 Holy Cross Point, 35413, Negeri Sembilan",nurse
D26442,Dorrie Pacey,27/5/1966,010-6197274,F,"6791 Loomis Point, 69042, Perlis",doctor
N82616,Park Braiden,4/12/1946,018-3584952,F,"64 Towne Avenue, 31260, Johor",nurse
N90295,Felicio Leaming,14/6/1928,011-36757806,F,"4348 Randy Drive, 16046, Pahang",nurse
N80201,Stormy Loosley,24/1/1911,010-7673837,M,"05 Warrior Court, 91488, Perlis",nurse
D47154,Antone Atton,27/6/1994,019-5603259,M,"66346 Cherokee Parkway, 93593, Putrajaya",doctor
N42652,Elayne Yacobsohn,31/3/1939,011-37741646,M,"0597 Pearson Park, 49053, Labuan",nurse
N08587,Ann-marie Leggin,10/5/1984,011-10178696,F,"19728 Meadow Valley Lane, 85234, Putrajaya",nurse
N51293,Linzy Baume,16/3/1953,010-4731231,F,"81961 Rutledge Lane, 03931, Perlis",nurse
D53961,Colline Colton,24/7/1954,011-74784006,M,"9587 Surrey Terrace, 33829, Terengganu",doctor
N49811,Cristy Clemits,30/7/1915,011-46703610,F,"94 Cambridge Circle, 60333, Kelantan",nurse
D01625,Lorenza Slocomb,24/5/1983,019-9785741,M,"0 Morningstar Court, 65696, Putrajaya",doctor
N03914,Alfred Forrestill,30/3/1995,019-6177934,M,"562 Ridge Oak Road, 79856, Selangor",nurse
N90844,Arnie Reckhouse,17/3/1941,011-66263203,M,"52870 Bluestem Point, 75175, Negeri Sembilan",nurse
N25081,Gabi Cape,29/11/1924,018-1340695,M,"627 Valley Edge Pass, 50823, Negeri Sembilan",nurse
D32904,Noreen Harkes,7/7/1935,010-2248715,M,"2396 Morningstar Road, 60306, Labuan",doctor
N85026,Odessa Duer,3/8/1909,011-13212368,F,"94761 Lerdahl Drive, 30249, Perak",nurse
N12187,Dee Purdey,29/8/1963,019-9430667,F,"355 Ridgeview Terrace, 35443, Terengganu",nurse
N05697,Alexine Fuller,18/10/1964,010-2808031,M,"4183 7th Court, 17321, Pahang",nurse
N30939,Dalis Tookey,14/4/1992,019-3211742,M,"353 Corscot Crossing, 53917, Perlis",nurse
D35363,Garrot Polamontayne,15/9/1973,011-89261404,M,"5 Basil Court, 19237, Labuan",doctor
N88225,Essie Hegel,13/4/1972,011-75576949,M,"47397 Quincy Terrace, 31596, Penang",nurse
